INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,26.168,241.691,1.666.530
Superfície (km2),"0,7","10,4","101,4"
Densitat (hab/km2),35.652,23.270,16.443
Població per sexe,,,
Dones,13.945,125.269,874.423
Homes,12.223,116.422,792.107
Població per edat (en %),,,
0-14,"11,8","13,1","12,3"
15-24,"8,8","9,1","9,4"
25-64,"54,0","57,4","57,2"
65 i mes,"25,4","20,4","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"51,8","50,2","49,3"
Resta Catalunya,"6,6","6,8","7,2"
Resta Espanya,"21,5","17,3","15,7"
Estranger,"20,1","25,8","27,8"
Població per nacionalitat (en %),,,
Espanyols,"85,4","79,6","78,3"
Estrangers,"14,6","20,4","21,7"
Principals nacionalitats estrangeres,,,
"",Xina,Itàlia,Itàlia
"",800,5.674,39.863
"",Itàlia,Xina,Pakistan
"",309,4.476,22.749
"",Perú,Pakistan,Xina
"",221,4.181,22.477
% Titulats superiors i CFGS (1),"21,0","28,4","33,4"
Taxa natalitat / 1.000 hab.,"7,1","7,7","7,7"
Població de més de 65 anys que viu sola (%) (2),"24,9","24,3","25,7"
Índex de sobreenvelliment  (3),"57,6","51,8","53,4"
Turismes (persones físiques) / 1.000 hab (4),"282,3","271,6","263,5"
Motos (persones físiques) / 1.000 hab (4),"95,5","97,1","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"21,9","21,8","25,0"
Nombre d'aturats registrats (5),1.290,10.862,69.047
Renda familiar disponible per habitant (2017),"67,4","88,1","100,0"
Índex Barcelona=100,,,
