INDICADORS SOCIOECONÒMICS 2019,BARRI DISTRICTE,,BARCELONA
Població,30.428 151.157,,1.666.530
Superfície (km2),"0,8 19,9",,"101,4"
Densitat (hab/km2),35.888 7.590,,16.443
Població per sexe,,,
Dones,16.498 81.679,,874.423
Homes,13.930 69.478,,792.107
Població per edat (en %),,,
0-14,"13,8 15,4",,"12,3"
15-24,"10,6 11,6",,"9,4"
25-64,"54,5 51,5",,"57,2"
65 i mes,"21,1 21,5",,"21,1"
Població per lloc de naixement (en %),,,
Barcelona,"59,0 62,0",,"49,3"
Resta Catalunya,"8,8 8,7",,"7,2"
Resta Espanya,"10,3 10,2",,"15,7"
Estranger,"21,8 19,1",,"27,8"
Població per nacionalitat (en %),,,
Espanyols,"84,0 85,8",,"78,3"
Estrangers,"16,0 14,2",,"21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia Itàlia,,Itàlia
"",791 2.947,,39.863
"",França França,,Pakistan
"",431 2.363,,22.749
"","VeneçueElastats Units, els",,Xina
"",264 975,,22.477
% Titulats superiors i CFGS (1),"51,6 52,2",,"33,4"
Taxa natalitat / 1.000 hab.,"8,7 8,2",,"7,7"
Població de més de 65 anys que viu sola (%) (2),"28,1 25,0",,"25,7"
Índex de sobreenvelliment  (3),"51,4 55,2",,"53,4"
Turismes (persones físiques) / 1.000 hab (4),"295,3 343,8",,"263,5"
Motos (persones físiques) / 1.000 hab (4),"197,2 220,1",,"119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"27,9 28,6",,"25,0"
Nombre d'aturats registrats (5),943 3.480,,69.047
Renda familiar disponible per habitant (2017),"144,6 182,8",,"100,0"
Índex Barcelona=100,,,
