INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,2.625,151.976,1.666.530
Superfície (km2),"0,2","6,6","101,4"
Densitat (hab/km2),11.418,23.065,16.443
Població per sexe,,,
Dones,1.346,79.738,874.423
Homes,1.279,72.238,792.107
Població per edat (en %),,,
0-14,"16,2","13,2","12,3"
15-24,"10,4","9,1","9,4"
25-64,"57,4","56,0","57,2"
65 i mes,"16,0","21,7","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"57,4","53,9","49,3"
Resta Catalunya,"9,6","6,9","7,2"
Resta Espanya,"12,3","17,7","15,7"
Estranger,"20,7","21,5","27,8"
Població per nacionalitat (en %),,,
Espanyols,"85,1","84,8","78,3"
Estrangers,"14,9","15,2","21,7"
Principals nacionalitats estrangeres,,,
"","Marroc, el",Xina,Itàlia
"",73,2.129,39.863
"",Algèria,Pakistan,Pakistan
"",37,1.710,22.749
"",Hondures,Itàlia,Xina
"",34,1.675,22.477
% Titulats superiors i CFGS (1),"7,1","24,4","33,4"
Taxa natalitat / 1.000 hab.,"8,5","7,8","7,7"
Població de més de 65 anys que viu sola (%) (2),"28,0","24,0","25,7"
Índex de sobreenvelliment  (3),"52,3","50,2","53,4"
Turismes (persones físiques) / 1.000 hab (4),"270,9","280,2","263,5"
Motos (persones físiques) / 1.000 hab (4),"74,7","93,8","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"26,7","20,7","25,0"
Nombre d'aturats registrats (5),114,6.828,69.047
Renda familiar disponible per habitant (2017),"68,9","74,6","100,0"
Índex Barcelona=100,,,
