Districte de Sant Martí,
Diagonal Mar i el Front Marítim del Poblenou,
INDICADORS SOCIOECONÒMICS 2019 BARRI DISTRICTE,BARCELONA
Població 13.526 241.691,1.666.530
"Superfície (km2) 1,2 10,4","101,4"
Densitat (hab/km2) 11.244 23.270,16.443
Població per sexe,
Dones 6.952 125.269,874.423
Homes 6.574 116.422,792.107
Població per edat (en %),
"0-14 18,6 13,1","12,3"
"15-24 8,3 9,1","9,4"
"25-64 57,6 57,4","57,2"
"65 i mes 15,6 20,4","21,1"
Població per lloc de naixement (en %),
"Barcelona 53,0 50,2","49,3"
"Resta Catalunya 7,9 6,8","7,2"
"Resta Espanya 14,6 17,3","15,7"
"Estranger 24,4 25,8","27,8"
Població per nacionalitat (en %),
"Espanyols 79,4 79,6","78,3"
"Estrangers 20,6 20,4","21,7"
Principals nacionalitats estrangeres,
Itàlia Itàlia,Itàlia
374 5.674,39.863
Rússia Xina,Pakistan
346 4.476,22.749
França Pakistan,Xina
171 4.181,22.477
"% Titulats superiors i CFGS (1) 41,8 28,4","33,4"
"Taxa natalitat / 1.000 hab. 12,1 7,7","7,7"
"Població de més de 65 anys que viu sola (%) (2) 21,3 24,3","25,7"
"Índex de sobreenvelliment  (3) 51,5 51,8","53,4"
"Turismes (persones físiques) / 1.000 hab (4) 282,4 271,6","263,5"
"Motos (persones físiques) / 1.000 hab (4) 107,8 97,1","119,8"
"Ciclomotors (persones físiques) / 1.000 hab (4) 10,6 21,8","25,0"
Nombre d'aturats registrats (5) 610 10.862,69.047
"Renda familiar disponible per habitant (2017) 150,1 88,1","100,0"
Índex Barcelona=100,
