INDICADORS SOCIOECONÒMICS 2019,BARRI,DISTRICTE,BARCELONA
Població,58.621,270.694,1.666.530
Superfície (km2),"1,3","7,5","101,4"
Densitat (hab/km2),43.724,36.265,16.443
Població per sexe,,,
Dones,31.392,144.056,874.423
Homes,27.229,126.638,792.107
Població per edat (en %),,,
0-14,"10,3","10,5","12,3"
15-24,"8,5","8,8","9,4"
25-64,"57,9","58,8","57,2"
65 i mes,"23,4","21,9","21,1"
Població per lloc de naixement (en %),,,
Barcelona,"48,0","47,1","49,3"
Resta Catalunya,"9,3","8,4","7,2"
Resta Espanya,"14,8","13,9","15,7"
Estranger,"27,9","30,7","27,8"
Població per nacionalitat (en %),,,
Espanyols,"78,9","75,6","78,3"
Estrangers,"21,1","24,4","21,7"
Principals nacionalitats estrangeres,,,
"",Itàlia,Itàlia,Itàlia
"",1.687,9.559,39.863
"",Xina,Xina,Pakistan
"",1.292,6.119,22.749
"",Colòmbia,França,Xina
"",612,4.258,22.477
% Titulats superiors i CFGS (1),"44,9","44,5","33,4"
Taxa natalitat / 1.000 hab.,"7,4","7,2","7,7"
Població de més de 65 anys que viu sola (%) (2),"26,8","27,4","25,7"
Índex de sobreenvelliment  (3),"51,6","53,5","53,4"
Turismes (persones físiques) / 1.000 hab (4),"265,3","245,4","263,5"
Motos (persones físiques) / 1.000 hab (4),"131,3","126,7","119,8"
Ciclomotors (persones físiques) / 1.000 hab (4),"24,9","24,2","25,0"
Nombre d'aturats registrats (5),2.117,9.326,69.047
Renda familiar disponible per habitant (2017),"110,2","122,4","100,0"
Índex Barcelona=100,,,
