,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
0,2009,1.0,Ciutat Vella,1.0,el Raval,117.2
1,2009,1.0,Ciutat Vella,2.0,el Barri Gòtic,99.6
2,2009,1.0,Ciutat Vella,3.0,la Barceloneta,83.9
3,2009,1.0,Ciutat Vella,4.0,"Sant Pere, Santa Caterina i la Ribera",92.3
4,2009,2.0,Eixample,5.0,el Fort Pienc,68.3
5,2009,2.0,Eixample,6.0,la Sagrada Família,50.0
6,2009,2.0,Eixample,7.0,la Dreta de l'Eixample,56.0
7,2009,2.0,Eixample,8.0,l'Antiga Esquerra de l'Eixample,61.8
8,2009,2.0,Eixample,9.0,la Nova Esquerra de l'Eixample,54.5
9,2009,2.0,Eixample,10.0,Sant Antoni,57.1
10,2009,3.0,Sants-Montjuïc,11.0,el Poble Sec,72.2
11,2009,3.0,Sants-Montjuïc,12.0,la Marina del Prat Vermell,35.9
12,2009,3.0,Sants-Montjuïc,13.0,la Marina de Port,45.4
13,2009,3.0,Sants-Montjuïc,14.0,la Font de la Guatlla,62.3
14,2009,3.0,Sants-Montjuïc,15.0,Hostafrancs,75.7
15,2009,3.0,Sants-Montjuïc,16.0,la Bordeta,47.9
16,2009,3.0,Sants-Montjuïc,17.0,Sants - Badal,64.4
17,2009,3.0,Sants-Montjuïc,18.0,Sants,72.5
18,2009,4.0,Les Corts,19.0,les Corts,52.7
19,2009,4.0,Les Corts,20.0,la Maternitat i Sant Ramon,51.0
20,2009,4.0,Les Corts,21.0,Pedralbes,56.4
21,2009,5.0,Sarrià-Sant Gervasi,22.0,"Vallvidrera, el Tibidabo i les Planes",39.8
22,2009,5.0,Sarrià-Sant Gervasi,23.0,Sarrià,44.8
23,2009,5.0,Sarrià-Sant Gervasi,24.0,les Tres Torres,45.6
24,2009,5.0,Sarrià-Sant Gervasi,25.0,Sant Gervasi - la Bonanova,44.7
25,2009,5.0,Sarrià-Sant Gervasi,26.0,Sant Gervasi - Galvany,39.2
26,2009,5.0,Sarrià-Sant Gervasi,27.0,el Putxet i el Farró,60.5
27,2009,6.0,Gràcia,28.0,Vallcarca i els Penitents,43.9
28,2009,6.0,Gràcia,29.0,el Coll,43.7
29,2009,6.0,Gràcia,30.0,la Salut,46.7
30,2009,6.0,Gràcia,31.0,la Vila de Gràcia,69.4
31,2009,6.0,Gràcia,32.0,el Camp d'en Grassot i Gràcia Nova,42.6
32,2009,7.0,Horta-Guinardó,33.0,el Baix Guinardó,48.1
33,2009,7.0,Horta-Guinardó,34.0,Can Baró,42.1
34,2009,7.0,Horta-Guinardó,35.0,el Guinardó,43.1
35,2009,7.0,Horta-Guinardó,36.0,la Font d'en Fargues,21.9
36,2009,7.0,Horta-Guinardó,37.0,el Carmel,30.9
37,2009,7.0,Horta-Guinardó,38.0,la Teixonera,42.4
38,2009,7.0,Horta-Guinardó,39.0,Sant Genís dels Agudells,42.4
39,2009,7.0,Horta-Guinardó,40.0,Montbau,43.1
40,2009,7.0,Horta-Guinardó,41.0,la Vall d'Hebron,39.8
41,2009,7.0,Horta-Guinardó,42.0,la Clota,54.1
42,2009,7.0,Horta-Guinardó,43.0,Horta,46.1
43,2009,8.0,Nou Barris,44.0,Vilapicina i la Torre Llobeta,33.5
44,2009,8.0,Nou Barris,45.0,Porta,37.3
45,2009,8.0,Nou Barris,46.0,el Turó de la Peira,76.4
46,2009,8.0,Nou Barris,47.0,Can Peguera,28.5
47,2009,8.0,Nou Barris,48.0,la Guineueta,26.4
48,2009,8.0,Nou Barris,49.0,Canyelles,21.1
49,2009,8.0,Nou Barris,50.0,les Roquetes,53.2
50,2009,8.0,Nou Barris,51.0,Verdun,44.6
51,2009,8.0,Nou Barris,52.0,la Prosperitat,40.4
52,2009,8.0,Nou Barris,53.0,la Trinitat Nova,53.2
53,2009,8.0,Nou Barris,54.0,Torre Baró,49.0
54,2009,8.0,Nou Barris,55.0,Ciutat Meridiana,82.3
55,2009,8.0,Nou Barris,56.0,Vallbona,45.6
56,2009,9.0,Sant Andreu,57.0,la Trinitat Vella,87.2
57,2009,9.0,Sant Andreu,58.0,Baró de Viver,32.8
58,2009,9.0,Sant Andreu,59.0,el Bon Pastor,77.7
59,2009,9.0,Sant Andreu,60.0,Sant Andreu,32.6
60,2009,9.0,Sant Andreu,61.0,la Sagrera,40.3
61,2009,9.0,Sant Andreu,62.0,el Congrés i els Indians,41.8
62,2009,9.0,Sant Andreu,63.0,Navas,43.1
63,2009,10.0,Sant Martí,64.0,el Camp de l'Arpa del Clot,46.5
64,2009,10.0,Sant Martí,65.0,el Clot,45.6
65,2009,10.0,Sant Martí,66.0,el Parc i la Llacuna del Poblenou,56.9
66,2009,10.0,Sant Martí,67.0,la Vila Olímpica del Poblenou,49.2
67,2009,10.0,Sant Martí,68.0,el Poblenou,47.7
