,Nombre d'aturats registrats (5)_barrio,Nombre d'aturats registrats (5)_districte,num_barrio,Renda familiar disponible per habitant (2017)_barrio,Renda familiar disponible per habitant (2017)_districte,65 i mes_barrio,65 i mes_districte,SuperfÃ­cie (km2)_barrio,SuperfÃ­cie (km2)_districte,Densitat (hab/km2)_barrio,Densitat (hab/km2)_districte,Taxa natalitat / 1.000 hab._barrio,Taxa natalitat / 1.000 hab._districte,PoblaciÃ³ de mÃ©s de 65 anys que viu sola (%) (2)_barrio,PoblaciÃ³ de mÃ©s de 65 anys que viu sola (%) (2)_districte,Ãndex de sobreenvelliment  (3)_barrio,Ãndex de sobreenvelliment  (3)_districte
0,3.074,6.290,1,"71,2","84,3","11,3","12,3","1,1","4,1",43.864,26.288,"9,1","7,6","31,9","32,2","50,7","52,6"
0,892,6.290,2,"106,1","84,3","10,1","12,3","0,8","4,1",26.625,26.288,"6,7","7,6","30,2","32,2","50,2","52,6"
0,978,6.290,3,"79,6","84,3","17,0","12,3","1,1","4,1",13.795,26.288,"5,7","7,6","32,8","32,2","58,1","52,6"
0,1.346,6.290,4,"99,4","84,3","13,6","12,3","1,1","4,1",20.944,26.288,"6,3","7,6","33,6","32,2","53,2","52,6"
0,1.156,9.326,5,"106,5","122,4","20,8","21,9","0,9","7,5",35.906,36.265,"6,3","7,2","25,3","27,4","52,3","53,5"
0,1.917,9.326,6,"101,8","122,4","22,2","21,9","1,0","7,5",50.147,36.265,"7,0","7,2","27,5","27,4","53,5","53,5"
0,1.255,9.326,7,"175,9","122,4","21,3","21,9","2,1","7,5",20.909,36.265,"7,7","7,2","27,1","27,4","54,0","53,5"
0,1.345,9.326,8,"137,2","122,4","20,8","21,9","1,2","7,5",35.189,36.265,"7,2","7,2","29,0","27,4","54,4","53,5"
0,2.117,9.326,9,"110,2","122,4","23,4","21,9","1,3","7,5",43.724,36.265,"7,4","7,2","26,8","27,4","51,6","53,5"
0,1.535,9.326,10,"104,2","122,4","22,0","21,9","0,8","7,5",48.384,36.265,"7,6","7,2","28,5","27,4","56,4","53,5"
0,2.045,8.162,11,"82,2","84,6","16,6","19,9","4,6","22,7",8.758,8.272,"7,3","8,0","28,6","25,7","53,7","52,2"
0,93,8.162,12,"40,0","84,6","18,1","19,9","14,0","22,7",87,8.272,"10,9","8,0","31,5","25,7","53,2","52,2"
0,1.548,8.162,13,"69,3","84,6","19,9","19,9","1,3","22,7",24.714,8.272,"8,0","8,0","25,4","25,7","53,8","52,2"
0,516,8.162,14,"82,9","84,6","23,5","19,9","0,3","22,7",34.931,8.272,"6,7","8,0","24,9","25,7","51,9","52,2"
0,684,8.162,15,"99,0","84,6","19,2","19,9","0,4","22,7",39.527,8.272,"7,5","8,0","24,7","25,7","48,9","52,2"
0,845,8.162,17,"81,0","84,6","22,0","19,9","0,4","22,7",60.151,8.272,"8,6","8,0","23,7","25,7","49,3","52,2"
0,1.629,8.162,18,"99,0","84,6","20,1","19,9","1,1","22,7",39.979,8.272,"8,7","8,0","26,9","25,7","53,4","52,2"
0,1.665,2.708,19,"120,0","137,3","26,3","26,2","1,4","6,0",33.133,13.748,"7,4","7,0","23,7","23,0","50,1","51,2"
0,835,2.708,20,"114,2","137,3","26,7","26,2","1,9","6,0",12.514,13.748,"6,6","7,0","22,8","23,0","51,0","51,2"
0,208,2.708,21,"248,8","137,3","24,8","26,2","2,7","6,0",4.446,13.748,"6,0","7,0","20,8","23,0","55,7","51,2"
